file,issue,severity,lines,count
ai_trading/analysis/sentiment.py,eval_exec,high,L76,1
ai_trading/core/bot_engine.py,eval_exec,high,L1648,1
tests/test_bot_engine.py,eval_exec,high,L4,1
tests/test_bot_engine_edge_cases.py,eval_exec,high,L5,1
tests/test_bot_engine_unit.py,eval_exec,high,L8,1
tests/test_coverage_hack.py,eval_exec,high,L16,1
tests/test_data_fetcher.py,eval_exec,high,L238,1
tests/test_metrics_logger_smoke.py,eval_exec,high,L13,1
tests/test_ml_model_loading.py,eval_exec,high,L9,1
tests/test_pipeline_smoke.py,eval_exec,high,L12,1
tests/test_predict_smoke.py,eval_exec,high,L26,1
tests/test_retrain_smoke.py,eval_exec,high,L84,1
tests/test_strategy_allocator_smoke.py,eval_exec,high,L11,1
tests/test_trade_execution_smoke.py,eval_exec,high,L11,1
tests/test_features.py,hardcoded_secret,high,"L16, L19",2
tests/test_problem_statement_validation.py,hardcoded_secret,high,"L155, L160",2
tests/test_talib_enforcement.py,hardcoded_secret,high,"L60, L137",2
tests/test_trigger_meta_learning_conversion.py,hardcoded_secret,high,L61,1
tools/codemods/codemod_logging_time.py,datetime_naive_now,medium,"L2, L62-63",3
ai_trading/analysis/sentiment.py,empty_except,medium,"L59, L84",2
ai_trading/config/management.py,empty_except,medium,"L26, L587, L621, L787",4
ai_trading/core/bot_engine.py,empty_except,medium,"L10, L40, L76, L83, L110, L149, L248, L289, L473, L741, L777, L792, L889, L903, L919, L928, L1005, L1162, L1176, L1184, L1239, L1735, L3261, L3266, L3313, L3382, L3809, L3870, L4640, L4819, L6297, L6307, L6604, L7562, L7587, L8121, L8422, L9065, L9532, L10052",40
ai_trading/core/hyperparams_schema.py,empty_except,medium,L18,1
ai_trading/data/splits.py,empty_except,medium,"L23, L202",2
ai_trading/data_fetcher.py,empty_except,medium,"L96, L169, L387, L424, L1332, L1485",6
ai_trading/env.py,empty_except,medium,L6,1
ai_trading/execution/__init__.py,empty_except,medium,L26,1
ai_trading/execution/debug_tracker.py,empty_except,medium,L175,1
ai_trading/execution/engine.py,empty_except,medium,"L244, L425",2
ai_trading/execution/live_trading.py,empty_except,medium,"L23, L472, L514, L531, L552",5
ai_trading/features/pipeline.py,empty_except,medium,L25,1
ai_trading/health_monitor.py,empty_except,medium,L283,1
ai_trading/indicators.py,empty_except,medium,L43,1
ai_trading/logging.py,empty_except,medium,"L19, L29, L195, L493, L514",5
ai_trading/main.py,empty_except,medium,"L23, L169, L198, L201",4
ai_trading/market/calendars.py,empty_except,medium,L17,1
ai_trading/meta_learning.py,empty_except,medium,"L15, L26, L1459",3
ai_trading/monitoring/__init__.py,empty_except,medium,"L38, L47, L54",3
ai_trading/paths.py,empty_except,medium,L16,1
ai_trading/portfolio/weights.py,empty_except,medium,L15,1
ai_trading/position/correlation_analyzer.py,empty_except,medium,"L24, L322, L446, L464, L551, L693",6
ai_trading/position/intelligent_manager.py,empty_except,medium,"L30, L569, L619",3
ai_trading/position/legacy_manager.py,empty_except,medium,"L187, L350, L362, L413",4
ai_trading/position/market_regime.py,empty_except,medium,"L23, L230, L276, L314, L350, L381, L402, L455, L473",9
ai_trading/position/profit_taking.py,empty_except,medium,"L23, L267, L426, L500, L529, L548, L567, L588",8
ai_trading/position/technical_analyzer.py,empty_except,medium,L23,1
ai_trading/position/trailing_stops.py,empty_except,medium,L23,1
ai_trading/production_system.py,empty_except,medium,L556,1
ai_trading/rebalancer.py,empty_except,medium,L822,1
ai_trading/risk/__init__.py,empty_except,medium,L41,1
ai_trading/risk/adaptive_sizing.py,empty_except,medium,"L242, L262, L283, L308",4
ai_trading/risk/kelly.py,empty_except,medium,L25,1
ai_trading/risk/position_sizing.py,empty_except,medium,L394,1
ai_trading/risk/pre_trade_validation.py,empty_except,medium,L731,1
ai_trading/rl_trading/tests/smoke_parity.py,empty_except,medium,L116,1
ai_trading/rl_trading/train.py,empty_except,medium,"L24, L238",2
ai_trading/runner.py,empty_except,medium,L92,1
ai_trading/scheduler/aligned_clock.py,empty_except,medium,L90,1
ai_trading/security.py,empty_except,medium,L222,1
ai_trading/signals.py,empty_except,medium,"L29, L84, L110, L130, L304",5
ai_trading/strategies/__init__.py,empty_except,medium,L35,1
ai_trading/strategies/regime_detector.py,empty_except,medium,"L425, L447",2
ai_trading/trade_logic.py,empty_except,medium,L41,1
ai_trading/utils/base.py,empty_except,medium,"L382, L402",2
ai_trading/utils/determinism.py,empty_except,medium,"L46, L58, L66",3
scripts/INTEGRATION_GUIDE.py,empty_except,medium,L65,1
scripts/audit.py,empty_except,medium,L9,1
scripts/backtest_framework.py,empty_except,medium,L110,1
scripts/config_server.py,empty_except,medium,L41,1
scripts/demo_short_selling_implementation.py,empty_except,medium,L63,1
scripts/error_handling.py,empty_except,medium,L155,1
scripts/health_check.py,empty_except,medium,"L210, L251, L291, L349, L393, L521",6
scripts/memory_optimizer.py,empty_except,medium,L44,1
scripts/metrics_logger.py,empty_except,medium,L13,1
scripts/monitoring_dashboard.py,empty_except,medium,L163,1
scripts/optimized_startup.py,empty_except,medium,"L45, L54, L61",3
scripts/order_health_monitor.py,empty_except,medium,L23,1
scripts/portfolio_optimizer.py,empty_except,medium,"L451, L468, L489, L503, L527",5
scripts/portfolio_rl.py,empty_except,medium,"L5, L57, L76, L98, L144",5
scripts/predict.py,empty_except,medium,"L13, L34, L64",3
scripts/process_manager.py,empty_except,medium,"L146, L244, L256, L458, L467",5
scripts/production_integration.py,empty_except,medium,L282,1
scripts/production_validator.py,empty_except,medium,"L421, L471, L792, L819, L827, L836, L844",7
scripts/rebalancer.py,empty_except,medium,L29,1
scripts/retrain.py,empty_except,medium,"L12, L33, L55, L75, L85, L102, L176, L421",8
scripts/risk_engine.py,empty_except,medium,"L10, L39, L579, L1124",4
scripts/scalability_manager.py,empty_except,medium,L216,1
scripts/system_health_checker.py,empty_except,medium,L341,1
scripts/transaction_cost_calculator.py,empty_except,medium,"L519, L538",2
scripts/validate_env.py,empty_except,medium,"L16, L403, L407",3
scripts/validate_production_fixes.py,empty_except,medium,L188,1
scripts/validate_standalone.py,empty_except,medium,L182,1
scripts/validate_test_environment.py,empty_except,medium,L36,1
scripts/verify_config.py,empty_except,medium,"L51, L54, L101, L104, L124",5
tests/conftest.py,empty_except,medium,"L1480, L1490, L1498, L1500, L1516, L1569",6
tests/institutional/framework.py,empty_except,medium,"L325, L343, L365, L387, L409, L429",6
tests/institutional/test_live_trading.py,empty_except,medium,L176,1
tests/test_additional_coverage.py,empty_except,medium,L288,1
tests/test_alpaca_import_handling.py,empty_except,medium,L123,1
tests/test_alpha_quality.py,empty_except,medium,L259,1
tests/test_audit_column_fix.py,empty_except,medium,L16,1
tests/test_audit_smoke.py,empty_except,medium,L16,1
tests/test_backtest_smoke.py,empty_except,medium,L14,1
tests/test_benchmarks.py,empty_except,medium,L53,1
tests/test_bot_engine_imports.py,empty_except,medium,L76,1
tests/test_capital_scaling_smoke.py,empty_except,medium,L18,1
tests/test_centralized_logging_no_duplicates.py,empty_except,medium,"L81, L88",2
tests/test_config_deadlock_fix.py,empty_except,medium,"L19, L32, L69, L138, L156",5
tests/test_config_env.py,empty_except,medium,L69,1
tests/test_critical_datetime_fixes.py,empty_except,medium,"L77, L163",2
tests/test_critical_fixes.py,empty_except,medium,L249,1
tests/test_critical_fixes_validation.py,empty_except,medium,L87,1
tests/test_critical_issues_resolution.py,empty_except,medium,L22,1
tests/test_critical_trading_fixes.py,empty_except,medium,L735,1
tests/test_critical_trading_issues.py,empty_except,medium,L336,1
tests/test_grid_sanity.py,empty_except,medium,L6,1
tests/test_import_fallbacks.py,empty_except,medium,"L17, L129, L142",3
tests/test_kelly_confidence_fix.py,empty_except,medium,"L59, L106",2
tests/test_logger_rotator_smoke.py,empty_except,medium,L16,1
tests/test_ml_model_validation.py,empty_except,medium,L24,1
tests/test_nameerror_integration.py,empty_except,medium,"L60, L89",2
tests/test_parameter_optimization.py,empty_except,medium,"L109, L131",2
tests/test_peak_performance.py,empty_except,medium,L186,1
tests/test_performance_fixes.py,empty_except,medium,L123,1
tests/test_portfolio_integration.py,empty_except,medium,L247,1
tests/test_production_fixes.py,empty_except,medium,L281,1
tests/test_pydantic_v2_migration.py,empty_except,medium,"L80, L108",2
tests/test_rebalancer_additional.py,empty_except,medium,L31,1
tests/test_retry_idempotency_integration.py,empty_except,medium,L98,1
tests/test_safe_submit_order.py,empty_except,medium,L31,1
tests/test_short_selling_implementation.py,empty_except,medium,L102,1
